股票代码,股票名称,交易所,板块,上市时间,最新价
603733,仙鹤股份,上海交易所,主板,20180420,20.33
300007,汉威科技,深圳交易所,创业板,20091030,36.22
301173,毓恬冠佳,深圳交易所,创业板,20250303,45.28
688819,天能股份,上海交易所,科创板,20210118,27.19
002999,天禾股份,深圳交易所,主板,20200903,6.81
000401,冀东水泥,深圳交易所,主板,19960614,4.54
688576,西山科技,上海交易所,科创板,20230606,63.61
002252,上海莱士,深圳交易所,主板,20080623,6.82
688565,力源科技,上海交易所,科创板,20210513,7.96
000589,贵州轮胎,深圳交易所,主板,19960308,4.55
301459,丰茂股份,深圳交易所,创业板,20231213,45.55
002240,盛新锂能,深圳交易所,主板,20080523,11.39
600970,中材国际,上海交易所,主板,20050412,9.13
003021,兆威机电,深圳交易所,主板,20201204,107.28
603856,东宏股份,上海交易所,主板,20171106,11.42
002221,东华能源,深圳交易所,主板,20080306,8.0
688332,中科蓝讯,上海交易所,科创板,20220715,93.82
301556,托普云农,深圳交易所,创业板,20241017,83.63
002112,三变科技,深圳交易所,主板,20070208,12.61
600717,天津港,上海交易所,主板,19960614,4.59
002672,东江环保,深圳交易所,主板,20120426,4.59
300589,江龙船艇,深圳交易所,创业板,20170113,11.49
688409,富创精密,上海交易所,科创板,20221010,50.6
601118,海南橡胶,上海交易所,主板,20110107,4.6
002408,齐翔腾达,深圳交易所,主板,20100518,4.6
002858,力盛体育,深圳交易所,主板,20170324,12.67
603031,安孚科技,上海交易所,主板,20160822,26.5
600280,中央商场,上海交易所,主板,20000926,3.46
600706,曲江文旅,上海交易所,主板,19960516,9.23
000799,酒鬼酒,深圳交易所,主板,19970718,42.69
688662,富信科技,上海交易所,科创板,20210401,35.82
600714,金瑞矿业,上海交易所,主板,19960606,10.4
603321,梅轮电梯,上海交易所,主板,20170915,8.09
300209,有棵树,深圳交易所,创业板,20110426,5.78
600894,广日股份,上海交易所,主板,19960328,10.41
