股票代码,股票名称,交易所,板块,上市时间,最新价,东财行业,证监会行业,行业为空,上市年份,上市月份,上市日期,一级行业,二级行业
'002434,万里扬,深圳交易所,主板,20100618,7.35,交运设备-汽车-汽车零部件,制造业-汽车制造业,False,2010,6,18,交运设备,汽车
'603227,雪峰科技,上海交易所,主板,20150515,9.2,基础化工-化学制品-民爆用品,制造业-化学原料和化学制品制造业,False,2015,5,15,基础化工,化学制品
'300420,五洋自控,深圳交易所,创业板,20150217,3.68,机械设备-通用设备-起重运输设备,制造业-通用设备制造业,False,2015,2,17,机械设备,通用设备
'600702,舍得酒业,上海交易所,主板,19960524,53.48,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业,False,1996,5,24,食品饮料,饮料
'600575,淮河能源,上海交易所,主板,20030328,3.69,交通运输-物流-物流,交通运输、仓储和邮政业-水上运输业,False,2003,3,28,交通运输,物流
'002016,世荣兆业,深圳交易所,主板,20040708,5.54,房地产-房地产开发-房地产开发,房地产业-房地产业,False,2004,7,8,房地产,房地产开发
'600058,五矿发展,上海交易所,主板,19970528,7.39,商贸零售-贸易-贸易,批发和零售业-批发业,False,1997,5,28,商贸零售,贸易
'688608,恒玄科技,上海交易所,科创板,20201216,392.98,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业,False,2020,12,16,电子设备,电子设备制造
'603388,*ST元成,上海交易所,主板,20170324,3.71,建筑-建筑施工-园林工程,建筑业-土木工程建筑业,False,2017,3,24,建筑,建筑施工
'002091,江苏国泰,深圳交易所,主板,20061208,7.42,商贸零售-贸易-贸易,批发和零售业-批发业,False,2006,12,8,商贸零售,贸易
'002736,国信证券,深圳交易所,主板,20141229,11.14,金融-非银行金融-证券,金融业-资本市场服务,False,2014,12,29,金融,非银行金融
'001217,华尔泰,深圳交易所,主板,20210929,11.16,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业,False,2021,9,29,基础化工,化学原料
'600416,湘电股份,上海交易所,主板,20020718,11.17,电气设备-电机-电机,制造业-电气机械和器材制造业,False,2002,7,18,电气设备,电机
'002140,东华科技,深圳交易所,主板,20070712,9.31,建筑-建筑施工-专业工程,建筑业-土木工程建筑业,False,2007,7,12,建筑,建筑施工
'301292,海科新源,深圳交易所,创业板,20230707,14.93,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业,False,2023,7,7,基础化工,化学制品
'002131,利欧股份,深圳交易所,主板,20070427,3.74,文化传媒-营销服务-营销服务,租赁和商务服务业-商务服务业,False,2007,4,27,文化传媒,营销服务
'688100,威胜信息,上海交易所,科创板,20200121,33.83,信息技术-计算机软件-行业应用软件,制造业-计算机、通信和其他电子设备制造业,False,2020,1,21,信息技术,计算机软件
'002942,新农股份,深圳交易所,主板,20181205,16.93,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业,False,2018,12,5,基础化工,化肥农药
'300789,唐源电气,深圳交易所,创业板,20190828,22.58,信息技术-计算机硬件-专用计算机设备,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2019,8,28,信息技术,计算机硬件
'002195,岩山科技,深圳交易所,主板,20071212,5.67,互联网-互联网服务-其他互联网服务,信息传输、软件和信息技术服务业-互联网和相关服务,False,2007,12,12,互联网,互联网服务
'688084,晶品特装,上海交易所,科创板,20221208,66.2,机械设备-机器人-工业机器人,制造业-专用设备制造业,False,2022,12,8,机械设备,机器人
'002767,先锋电子,深圳交易所,主板,20150612,17.08,电气设备-输变电设备-电气仪表,制造业-仪器仪表制造业,False,2015,6,12,电气设备,输变电设备
'600129,太极集团,上海交易所,主板,19971118,20.88,医药生物-中药生产-中药生产,制造业-医药制造业,False,1997,11,18,医药生物,中药生产
'002154,报 喜 鸟,深圳交易所,主板,20070816,3.8,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业,False,2007,8,16,纺织服装,服装家纺
'301149,隆华新材,深圳交易所,创业板,20211110,11.43,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业,False,2021,11,10,基础化工,化学原料
'000786,北新建材,深圳交易所,主板,19970606,28.58,建材-其他建材-其他建材,制造业-非金属矿物制品业,False,1997,6,6,建材,其他建材
'002191,劲嘉股份,深圳交易所,主板,20071205,3.82,轻工制造-造纸印刷-包装印刷,制造业-印刷和记录媒介复制业,False,2007,12,5,轻工制造,造纸印刷
'000637,茂化实华,深圳交易所,主板,19961114,3.82,化石能源-石油天然气-石油加工,制造业-化学原料和化学制品制造业,False,1996,11,14,化石能源,石油天然气
'300715,凯伦股份,深圳交易所,创业板,20171026,9.57,建材-其他建材-其他建材,制造业-非金属矿物制品业,False,2017,10,26,建材,其他建材
'002251,步步高,深圳交易所,主板,20080619,5.75,商贸零售-零售-超市,批发和零售业-零售业,False,2008,6,19,商贸零售,零售
'002674,兴业科技,深圳交易所,主板,20120507,9.59,纺织服装-服装家纺-服饰辅料,制造业-皮革、毛皮、羽毛及其制品和制鞋业,False,2012,5,7,纺织服装,服装家纺
'603215,比依股份,上海交易所,主板,20220218,17.27,家电-小家电-小家电,制造业-电气机械和器材制造业,False,2022,2,18,家电,小家电
'300065,海兰信,深圳交易所,创业板,20100326,17.27,国防与装备-船舶与海洋装备-海洋工程装备,制造业-计算机、通信和其他电子设备制造业,False,2010,3,26,国防与装备,船舶与海洋装备
'001231,农心科技,深圳交易所,主板,20220819,19.19,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业,False,2022,8,19,基础化工,化肥农药
'600566,济川药业,上海交易所,主板,20010822,26.87,医药生物-化学制药-化学制剂,制造业-医药制造业,False,2001,8,22,医药生物,化学制药
'000893,亚钾国际,深圳交易所,主板,19981224,28.83,基础化工-化肥农药-钾肥,制造业-化学原料和化学制品制造业,False,1998,12,24,基础化工,化肥农药
'600332,白云山,上海交易所,主板,20010206,26.91,医药生物-医药商业-医药商业,制造业-医药制造业,False,2001,2,6,医药生物,医药商业
'002548,金新农,深圳交易所,主板,20110218,3.85,农林牧渔-畜牧业-饲料,制造业-农副食品加工业,False,2011,2,18,农林牧渔,畜牧业
'301356,天振股份,深圳交易所,创业板,20221114,17.37,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业,False,2022,11,14,基础化工,化学制品
'300539,横河精密,深圳交易所,创业板,20160830,13.57,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业,False,2016,8,30,基础化工,化学制品
'301286,侨源股份,深圳交易所,创业板,20220614,27.16,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业,False,2022,6,14,基础化工,化学原料
'600997,开滦股份,上海交易所,主板,20040602,5.83,化石能源-煤炭-煤炭开采洗选,制造业-石油、煤炭及其他燃料加工业,False,2004,6,2,化石能源,煤炭
'601515,东峰集团,上海交易所,主板,20120216,3.89,轻工制造-造纸印刷-包装印刷,制造业-印刷和记录媒介复制业,False,2012,2,16,轻工制造,造纸印刷
'301212,联盛化学,深圳交易所,创业板,20220419,27.3,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业,False,2022,4,19,基础化工,化学制品
'000860,顺鑫农业,深圳交易所,主板,19981104,15.6,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业,False,1998,11,4,食品饮料,饮料
'300915,海融科技,深圳交易所,创业板,20201202,25.38,食品饮料-食品-食品综合,制造业-食品制造业,False,2020,12,2,食品饮料,食品
'603015,弘讯科技,上海交易所,主板,20150303,13.7,机械设备-专用设备-其他专用机械,制造业-仪器仪表制造业,False,2015,3,3,机械设备,专用设备
'600883,博闻科技,上海交易所,主板,19951208,7.84,农林牧渔-农业-农产品加工,制造业-农副食品加工业,False,1995,12,8,农林牧渔,农业
'002306,*ST云网,深圳交易所,主板,20091111,1.96,休闲、生活及专业服务-休闲服务-餐饮,住宿和餐饮业-餐饮业,False,2009,11,11,休闲、生活及专业服务,休闲服务
'301607,富特科技,深圳交易所,创业板,20240904,47.08,交运设备-汽车-汽车零部件,制造业-汽车制造业,False,2024,9,4,交运设备,汽车
'002046,国机精工,深圳交易所,主板,20050526,15.7,机械设备-通用设备-基础件,制造业-通用设备制造业,False,2005,5,26,机械设备,通用设备
'002884,凌霄泵业,深圳交易所,主板,20170711,15.77,机械设备-通用设备-其他通用机械,制造业-通用设备制造业,False,2017,7,11,机械设备,通用设备
'601121,宝地矿业,上海交易所,主板,20230310,5.95,钢铁-铁矿石-铁矿石,采矿业-黑色金属矿采选业,False,2023,3,10,钢铁,铁矿石
'688425,铁建重工,上海交易所,科创板,20210622,3.97,交运设备-轨道交通设备-轨道交通设备,制造业-专用设备制造业,False,2021,6,22,交运设备,轨道交通设备
