股票代码,东财行业,证监会行业
002687,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
000514,房地产-房地产开发-房地产开发,房地产业-房地产业
000592,农林牧渔-林业-木材加工,制造业-木材加工和木、竹、藤、棕、草制品业
301037,基础化工-化学制品-涂料涂漆,制造业-化学原料和化学制品制造业
300837,机械设备-专用设备-矿山冶金机械,制造业-专用设备制造业
603948,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
600217,未找到,未找到
600638,房地产-房地产开发-房地产开发,房地产业-房地产业
603091,轻工制造-其他轻工-其他轻工,制造业-造纸和纸制品业
603081,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
002234,农林牧渔-畜牧业-养殖,农、林、牧、渔业-畜牧业
300958,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
300149,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
002485,商贸零售-贸易-贸易,租赁和商务服务业-商务服务业
300648,机械设备-通用设备-仪器仪表,制造业-专用设备制造业
002631,轻工制造-家具-家具制造,制造业-木材加工和木、竹、藤、棕、草制品业
301230,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
603886,食品饮料-食品-食品综合,制造业-食品制造业
002653,医药生物-化学制药-化学制剂,制造业-医药制造业
002880,医药生物-生物医药-生物医药,制造业-医药制造业
002859,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
688193,医药生物-生物医药-生物医药,制造业-医药制造业
300087,农林牧渔-农业-种子,农、林、牧、渔业-农、林、牧、渔专业及辅助性活动
600467,农林牧渔-渔业-海洋渔业,农、林、牧、渔业-渔业
831641,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
000990,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
002382,医药生物-医疗器械-医疗器械,制造业-橡胶和塑料制品业
300429,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
300957,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
300963,机械设备-金属制品-金属制品,制造业-有色金属冶炼和压延加工业
002323,建筑-钢结构-钢结构,建筑业-建筑装饰、装修和其他建筑业
002728,医药生物-中药生产-中药生产,制造业-医药制造业
688211,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
603319,交运设备-汽车-汽车零部件,制造业-汽车制造业
002780,纺织服装-服装家纺-服装,批发和零售业-零售业
002244,房地产-房地产开发-房地产开发,房地产业-房地产业
603211,交运设备-汽车-汽车零部件,制造业-汽车制造业
002501,有色金属-基本金属-铝,制造业-有色金属冶炼和压延加工业
603648,交通运输-物流-物流,租赁和商务服务业-商务服务业
002678,轻工制造-文娱用品-娱乐用品,制造业-文教、工美、体育和娱乐用品制造业
000912,基础化工-化肥农药-氮肥,制造业-化学原料和化学制品制造业
871642,基础化工-橡胶制品-其他橡胶制品,制造业-橡胶和塑料制品业
600605,房地产-房地产服务-房地产服务,房地产业-房地产业
600987,纺织服装-纺织-印染,制造业-纺织业
688293,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
688538,电子设备-电子器件-显示器件,制造业-计算机、通信和其他电子设备制造业
000069,房地产-房地产开发-房地产开发,房地产业-房地产业
603976,医药生物-医疗器械-医疗器械,制造业-医药制造业
600609,交运设备-汽车-汽车零部件,制造业-汽车制造业
600340,房地产-房地产开发-房地产开发,房地产业-房地产业
002817,医药生物-化学制药-化学原料药,制造业-医药制造业
688230,电子设备-半导体-半导体分立器件,制造业-计算机、通信和其他电子设备制造业
603276,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
002372,建材-其他建材-管材,制造业-橡胶和塑料制品业
002107,医药生物-中药生产-中药生产,制造业-医药制造业
002980,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业
002977,国防与装备-航空航天装备-航天装备,制造业-计算机、通信和其他电子设备制造业
300616,轻工制造-家具-家具制造,制造业-家具制造业
688062,医药生物-生物医药-生物医药,制造业-医药制造业
002865,电气设备-电源设备-太阳能,制造业-电气机械和器材制造业
600936,文化传媒-广播电视-有线电视,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务
688793,家电-小家电-小家电,制造业-电气机械和器材制造业
600665,房地产-房地产开发-房地产开发,房地产业-房地产业
002939,金融-非银行金融-证券,金融业-资本市场服务
603682,商贸零售-商业物业经营-一般物业经营,租赁和商务服务业-商务服务业
600078,基础化工-化学原料-磷化工,制造业-化学原料和化学制品制造业
001227,金融-银行-股份制与城商行,金融业-货币金融服务
300628,信息技术-通信设备-通信终端设备,制造业-计算机、通信和其他电子设备制造业
603009,交运设备-汽车-汽车零部件,制造业-汽车制造业
600327,医药生物-医疗服务-医疗服务,卫生和社会工作-卫生
300910,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
600624,医药生物-医药商业-医药商业,制造业-医药制造业
002605,互联网-互联网服务-其他互联网服务,信息传输、软件和信息技术服务业-互联网和相关服务
002637,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
300284,休闲、生活及专业服务-专业服务-调查与咨询服务,科学研究和技术服务业-专业技术服务业
301332,家电-小家电-小家电,制造业-电气机械和器材制造业
300932,电子设备-电子设备制造-电子设备制造,制造业-电气机械和器材制造业
605567,食品饮料-食品-肉制品,制造业-农副食品加工业
605177,医药生物-化学制药-化学原料药,制造业-医药制造业
600956,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
001338,食品饮料-饮料-啤酒,制造业-酒、饮料和精制茶制造业
301429,基础化工-化学新材料-化学新材料,制造业-化学原料和化学制品制造业
600199,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业
430090,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
603558,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
000715,商贸零售-零售-百货,批发和零售业-零售业
002034,公用事业-环保-环保,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
300929,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
603113,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
838402,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
600405,电气设备-电源设备-储能设备,制造业-计算机、通信和其他电子设备制造业
603168,医药生物-化学制药-化学制剂,制造业-医药制造业
300945,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-零售业
830832,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
603587,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
000909,房地产-房地产开发-房地产开发,房地产业-房地产业
601999,文化传媒-平面媒体-平面媒体,文化、体育和娱乐业-新闻和出版业
000670,电子设备-半导体-半导体材料,批发和零售业-批发业
002012,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业
001219,食品饮料-食品-食品综合,制造业-食品制造业
002054,基础化工-化学制品-印染化学品,制造业-化学原料和化学制品制造业
603817,公用事业-环保-环保,电力、热力、燃气及水生产和供应业-水的生产和供应业
002381,基础化工-橡胶制品-其他橡胶制品,制造业-橡胶和塑料制品业
002696,农林牧渔-畜牧业-饲料,制造业-农副食品加工业
000025,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-批发业
301259,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
301000,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业
300404,医药生物-医疗服务-医疗服务,科学研究和技术服务业-研究和试验发展
002413,国防与装备-航空航天装备-航天装备,制造业-计算机、通信和其他电子设备制造业
600955,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
002311,农林牧渔-畜牧业-饲料,制造业-农副食品加工业
301207,医药生物-生物医药-生物医药,制造业-医药制造业
300619,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
001366,农林牧渔-畜牧业-饲料,制造业-农副食品加工业
300016,医药生物-化学制药-化学制剂,制造业-医药制造业
600426,基础化工-化肥农药-氮肥,制造业-化学原料和化学制品制造业
002519,国防与装备-地面装备-地面装备,制造业-计算机、通信和其他电子设备制造业
300689,信息技术-通信设备-通信终端设备,制造业-计算机、通信和其他电子设备制造业
600606,房地产-房地产开发-房地产开发,建筑业-土木工程建筑业
600055,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
002302,建材-水泥-水泥,制造业-非金属矿物制品业
300305,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业
000902,基础化工-化肥农药-复合肥,制造业-化学原料和化学制品制造业
301129,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业
601339,纺织服装-纺织-棉纺,制造业-纺织业
002479,公用事业-电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
300482,医药生物-医疗器械-医疗器械,制造业-医药制造业
300948,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
301188,建材-玻璃-玻璃,制造业-非金属矿物制品业
002537,交运设备-汽车-汽车零部件,制造业-汽车制造业
300983,休闲、生活及专业服务-专业服务-建筑装饰设计,科学研究和技术服务业-专业技术服务业
603277,机械设备-通用设备-制冷空调设备,制造业-通用设备制造业
601588,房地产-房地产开发-房地产开发,房地产业-房地产业
300175,农林牧渔-农业-农产品加工,制造业-农副食品加工业
871970,农林牧渔-畜牧业-饲料,制造业-食品制造业
600824,纺织服装-服装家纺-服装,批发和零售业-零售业
600812,医药生物-化学制药-化学制剂,制造业-医药制造业
600986,文化传媒-营销服务-营销服务,信息传输、软件和信息技术服务业-互联网和相关服务
600132,食品饮料-饮料-啤酒,制造业-酒、饮料和精制茶制造业
600110,电气设备-输变电设备-其他输变电设备,制造业-计算机、通信和其他电子设备制造业
300823,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
002585,轻工制造-造纸印刷-包装印刷,制造业-橡胶和塑料制品业
002014,轻工制造-造纸印刷-包装印刷,制造业-橡胶和塑料制品业
300942,医药生物-化学制药-化学制剂,制造业-医药制造业
300486,机械设备-专用设备-其他专用机械,制造业-通用设备制造业
600359,农林牧渔-农业-种植业,农、林、牧、渔业-农业
300416,休闲、生活及专业服务-专业服务-调查与咨询服务,科学研究和技术服务业-专业技术服务业
603073,纺织服装-纺织-其他纺织,制造业-纺织业
301309,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
600929,基础化工-化学原料-无机盐,制造业-食品制造业
002769,交通运输-物流-物流,租赁和商务服务业-商务服务业
688128,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
600692,房地产-房地产开发-房地产开发,房地产业-房地产业
002812,有色金属-金属非金属新材料-电池材料,制造业-橡胶和塑料制品业
300140,公用事业-环保-环保,制造业-专用设备制造业
002188,房地产-房地产服务-房地产服务,房地产业-房地产业
688182,信息技术-通信设备-通信传输设备,制造业-计算机、通信和其他电子设备制造业
002023,国防与装备-航空航天装备-航空装备,制造业-金属制品、机械和设备修理业
000031,房地产-房地产开发-房地产开发,房地产业-房地产业
600315,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
603713,交通运输-物流-物流,交通运输、仓储和邮政业-多式联运和运输代理业
002726,食品饮料-食品-肉制品,制造业-农副食品加工业
300490,电气设备-输变电设备-电气自控设备,制造业-电气机械和器材制造业
002887,建筑-建筑施工-园林工程,水利、环境和公共设施管理业-生态保护和环境治理业
301168,电气设备-其他电气设备-其他电气设备,制造业-电气机械和器材制造业
300405,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
600000,金融-银行-股份制与城商行,金融业-货币金融服务
002830,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
831726,食品饮料-食品-食品综合,制造业-食品制造业
605580,公用事业-电力-热电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
000936,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
300888,医药生物-医疗器械-医疗器械,制造业-纺织业
002223,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
000721,休闲、生活及专业服务-休闲服务-餐饮,住宿和餐饮业-餐饮业
600981,商贸零售-贸易-贸易,批发和零售业-批发业
002060,建筑-基础建设-水利建设,建筑业-土木工程建筑业
603137,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
301081,机械设备-专用设备-环保设备,制造业-专用设备制造业
603023,交运设备-汽车-汽车零部件,制造业-计算机、通信和其他电子设备制造业
605155,轻工制造-其他轻工-其他轻工,制造业-纺织业
688129,基础化工-化学制品-涂料涂漆,制造业-化学原料和化学制品制造业
603398,电气设备-电源设备-太阳能,制造业-电气机械和器材制造业
600802,建材-水泥-水泥,制造业-非金属矿物制品业
600180,化石能源-煤炭-煤炭开采洗选,批发和零售业-批发业
603878,钢铁-钢铁-普钢,制造业-黑色金属冶炼和压延加工业
688329,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
688295,基础化工-合成纤维及树脂-其他纤维,制造业-化学纤维制造业
600941,信息技术-通信运营-通信运营,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务
001218,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
002836,轻工制造-造纸印刷-包装印刷,制造业-印刷和记录媒介复制业
600858,商贸零售-零售-百货,批发和零售业-零售业
301367,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
688351,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
002807,金融-银行-股份制与城商行,金融业-货币金融服务
300860,休闲、生活及专业服务-休闲服务-其他休闲服务,文化、体育和娱乐业-文化艺术业
600422,医药生物-中药生产-中药生产,制造业-医药制造业
002005,电子设备-光电子器件-LED,制造业-电气机械和器材制造业
000797,房地产-房地产开发-房地产开发,房地产业-房地产业
300653,医药生物-生物医药-生物医药,制造业-专用设备制造业
002416,电子设备-消费电子设备-消费电子设备,批发和零售业-批发业
300123,电子设备-电子器件-其他电子器件,制造业-计算机、通信和其他电子设备制造业
002404,纺织服装-纺织-丝绸,制造业-纺织服装、服饰业
002507,食品饮料-食品-食品综合,制造业-食品制造业
002515,食品饮料-食品-肉制品,制造业-农副食品加工业
688244,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
601838,金融-银行-股份制与城商行,金融业-货币金融服务
688075,医药生物-生物医药-生物医药,制造业-医药制造业
000910,轻工制造-家具-家具制造,制造业-木材加工和木、竹、藤、棕、草制品业
002407,基础化工-化学原料-氟化工,制造业-化学原料和化学制品制造业
002095,互联网-互联网商务-电子商务B2B,信息传输、软件和信息技术服务业-互联网和相关服务
000419,商贸零售-零售-百货,批发和零售业-零售业
836270,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
300585,交运设备-汽车-汽车零部件,制造业-汽车制造业
600380,医药生物-化学制药-化学制剂,制造业-医药制造业
002172,医药生物-医疗服务-医疗服务,卫生和社会工作-卫生
688707,有色金属-金属非金属新材料-电池材料,制造业-计算机、通信和其他电子设备制造业
600702,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业
601528,金融-银行-股份制与城商行,金融业-货币金融服务
300918,纺织服装-纺织-毛纺,制造业-纺织业
603538,医药生物-化学制药-化学原料药,制造业-医药制造业
000888,休闲、生活及专业服务-休闲服务-景区,水利、环境和公共设施管理业-公共设施管理业
300793,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
836826,农林牧渔-农业-农产品加工,制造业-农副食品加工业
300420,机械设备-通用设备-起重运输设备,制造业-通用设备制造业
000711,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
301103,医药生物-医疗服务-医疗服务,卫生和社会工作-卫生
300795,休闲、生活及专业服务-休闲服务-其他休闲服务,租赁和商务服务业-商务服务业
603331,机械设备-通用设备-基础件,制造业-通用设备制造业
605298,交运设备-铁路设备-铁路专用设备及器材,制造业-铁路、船舶、航空航天和其他运输设备制造业
002959,家电-小家电-小家电,制造业-电气机械和器材制造业
002201,基础化工-合成纤维及树脂-玻纤,制造业-非金属矿物制品业
000892,文化传媒-影视动漫-影视,文化、体育和娱乐业-广播、电视、电影和录音制作业
600706,休闲、生活及专业服务-休闲服务-景区,水利、环境和公共设施管理业-公共设施管理业
603903,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
002749,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
003040,电子设备-消费电子设备-消费电子设备,制造业-计算机、通信和其他电子设备制造业
603813,交通运输-物流-物流,交通运输、仓储和邮政业-道路运输业
301587,机械设备-金属制品-金属制品,制造业-金属制品业
600168,公用事业-水务-水务,电力、热力、燃气及水生产和供应业-水的生产和供应业
301211,医药生物-化学制药-化学原料药,制造业-医药制造业
600871,化石能源-石油天然气-油田服务,采矿业-开采专业及辅助性活动
300334,公用事业-环保-环保,制造业-专用设备制造业
600232,纺织服装-纺织-其他纺织,制造业-纺织业
600928,金融-银行-股份制与城商行,金融业-货币金融服务
301287,轻工制造-文娱用品-娱乐用品,制造业-文教、工美、体育和娱乐用品制造业
600148,交运设备-汽车-汽车零部件,制造业-汽车制造业
688496,电子设备-电子器件-其他电子器件,制造业-计算机、通信和其他电子设备制造业
688089,食品饮料-食品-食品综合,制造业-食品制造业
000678,交运设备-汽车-汽车零部件,制造业-汽车制造业
600333,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
600721,医药生物-医疗服务-医疗服务,科学研究和技术服务业-研究和试验发展
300314,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
601828,商贸零售-商业物业经营-专业市场,租赁和商务服务业-商务服务业
002350,电气设备-输变电设备-电气自控设备,制造业-电气机械和器材制造业
600056,医药生物-医药商业-医药商业,批发和零售业-批发业
600675,房地产-房地产开发-房地产开发,房地产业-房地产业
600653,交运设备-汽车-汽车销售,批发和零售业-零售业
600562,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
002029,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
601860,金融-银行-股份制与城商行,金融业-货币金融服务
601006,交通运输-公路铁路-铁路运输,交通运输、仓储和邮政业-铁路运输业
301203,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
601368,公用事业-水务-水务,电力、热力、燃气及水生产和供应业-水的生产和供应业
605299,轻工制造-文娱用品-娱乐用品,制造业-文教、工美、体育和娱乐用品制造业
002675,医药生物-化学制药-化学原料药,制造业-医药制造业
002576,电气设备-电机-电机,制造业-电气机械和器材制造业
603823,基础化工-化学制品-涂料涂漆,制造业-化学原料和化学制品制造业
000937,化石能源-煤炭-煤炭开采洗选,采矿业-煤炭开采和洗选业
002512,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
002042,纺织服装-纺织-棉纺,制造业-纺织业
002431,建筑-建筑施工-园林工程,建筑业-土木工程建筑业
301515,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
603879,基础化工-合成纤维及树脂-合成树脂,制造业-化学原料和化学制品制造业
002753,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
002493,基础化工-合成纤维及树脂-涤纶,制造业-化学原料和化学制品制造业
603323,金融-银行-股份制与城商行,金融业-货币金融服务
600250,商贸零售-贸易-贸易,批发和零售业-批发业
600108,农林牧渔-农业-种植业,农、林、牧、渔业-农业
300477,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
600526,机械设备-专用设备-环保设备,制造业-专用设备制造业
301502,电气设备-电机-电机,制造业-电气机械和器材制造业
600127,农林牧渔-农业-农产品加工,制造业-农副食品加工业
600408,化石能源-煤炭-焦炭,制造业-黑色金属冶炼和压延加工业
603301,医药生物-医疗器械-医疗器械,制造业-医药制造业
601158,公用事业-水务-水务,电力、热力、燃气及水生产和供应业-水的生产和供应业
600854,房地产-房地产开发-房地产开发,制造业-电气机械和器材制造业
600968,化石能源-石油天然气-石油天然气开采,采矿业-开采专业及辅助性活动
605169,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
603557,纺织服装-服装家纺-服饰辅料,制造业-皮革、毛皮、羽毛及其制品和制鞋业
600751,交通运输-港口航运-航运,批发和零售业-批发业
002047,建筑-装修装饰-装修装饰,建筑业-建筑装饰、装修和其他建筑业
832522,机械设备-通用设备-机床设备,制造业-专用设备制造业
000411,医药生物-医药商业-医药商业,批发和零售业-批发业
601728,信息技术-通信运营-通信运营,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务
600903,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业
300931,机械设备-专用设备-楼宇设备,制造业-通用设备制造业
688718,机械设备-专用设备-环保设备,制造业-专用设备制造业
003041,纺织服装-服装家纺-家纺,制造业-纺织业
002652,机械设备-金属制品-金属制品,制造业-金属制品业
002216,食品饮料-食品-食品综合,制造业-食品制造业
688505,医药生物-生物医药-生物医药,制造业-医药制造业
600535,医药生物-中药生产-中药生产,制造业-医药制造业
300801,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
688509,休闲、生活及专业服务-专业服务-其他专业服务,科学研究和技术服务业-专业技术服务业
603010,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
603786,交运设备-汽车-汽车零部件,制造业-汽车制造业
600115,交通运输-航空机场-航空,交通运输、仓储和邮政业-航空运输业
603335,交运设备-汽车-汽车零部件,制造业-汽车制造业
600287,商贸零售-贸易-贸易,批发和零售业-批发业
000782,基础化工-合成纤维及树脂-锦纶,制造业-化学纤维制造业
605339,食品饮料-食品-乳制品,制造业-食品制造业
000529,食品饮料-食品-肉制品,制造业-农副食品加工业
603183,建筑-建筑施工-专业工程,科学研究和技术服务业-专业技术服务业
603968,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
600328,基础化工-化学原料-无机盐,制造业-化学原料和化学制品制造业
603298,机械设备-专用设备-工程机械,制造业-通用设备制造业
603617,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
688197,医药生物-生物医药-生物医药,制造业-医药制造业
603172,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业
300062,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
603227,基础化工-化学制品-民爆用品,制造业-化学原料和化学制品制造业
688028,机械设备-通用设备-其他通用机械,制造业-通用设备制造业
002122,机械设备-通用设备-基础件,制造业-通用设备制造业
688184,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业
300335,公用事业-环保-环保,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
603368,医药生物-医药商业-医药商业,批发和零售业-批发业
688506,医药生物-生物医药-生物医药,制造业-医药制造业
300501,轻工制造-造纸印刷-包装印刷,制造业-医药制造业
003022,基础化工-化学新材料-化学新材料,制造业-化学原料和化学制品制造业
688185,医药生物-生物医药-生物医药,制造业-医药制造业
600882,食品饮料-食品-乳制品,制造业-食品制造业
600433,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业
002641,建材-其他建材-管材,制造业-橡胶和塑料制品业
002481,食品饮料-食品-食品综合,制造业-食品制造业
002466,有色金属-稀有金属-锂,制造业-有色金属冶炼和压延加工业
002066,建材-耐火材料-耐火材料,制造业-非金属矿物制品业
688238,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
600479,医药生物-中药生产-中药生产,制造业-医药制造业
601015,化石能源-煤炭-焦炭,制造业-石油、煤炭及其他燃料加工业
600399,钢铁-钢铁-特钢,制造业-黑色金属冶炼和压延加工业
301102,互联网-互联网服务-网络媒体,租赁和商务服务业-商务服务业
300194,医药生物-化学制药-化学制剂,制造业-医药制造业
603289,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
000966,公用事业-电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
600094,房地产-房地产开发-房地产开发,房地产业-房地产业
600794,交通运输-物流-物流,交通运输、仓储和邮政业-装卸搬运和仓储业
001239,机械设备-金属制品-金属制品,制造业-金属制品业
000679,商贸零售-零售-百货,批发和零售业-零售业
688155,交运设备-汽车-汽车零部件,制造业-专用设备制造业
002788,医药生物-医药商业-医药商业,批发和零售业-批发业
688335,机械设备-专用设备-环保设备,制造业-专用设备制造业
600420,医药生物-化学制药-化学制剂,制造业-医药制造业
300635,休闲、生活及专业服务-专业服务-其他专业服务,科学研究和技术服务业-专业技术服务业
600185,房地产-房地产开发-房地产开发,房地产业-房地产业
603214,商贸零售-零售-连锁,批发和零售业-零售业
301090,基础化工-化学原料-聚氨酯,制造业-化学原料和化学制品制造业
000028,医药生物-医药商业-医药商业,批发和零售业-批发业
605369,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
300769,有色金属-金属非金属新材料-电池材料,制造业-计算机、通信和其他电子设备制造业
002186,休闲、生活及专业服务-休闲服务-餐饮,住宿和餐饮业-餐饮业
603028,电气设备-电源设备-太阳能,制造业-金属制品业
002349,医药生物-中药生产-中药生产,制造业-医药制造业
603057,食品饮料-食品-食品综合,制造业-农副食品加工业
002543,家电-小家电-小家电,制造业-电气机械和器材制造业
688592,信息技术-卫星应用-卫星应用,制造业-计算机、通信和其他电子设备制造业
300293,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
688216,电子设备-半导体-集成电路,制造业-计算机、通信和其他电子设备制造业
002290,家电-白色家电-白色家电,制造业-电气机械和器材制造业
000726,纺织服装-纺织-棉纺,制造业-纺织业
300246,医药生物-医疗器械-医疗器械,制造业-专用设备制造业
600075,基础化工-化学原料-氯碱,制造业-化学原料和化学制品制造业
002644,医药生物-中药生产-中药生产,制造业-医药制造业
300390,有色金属-金属非金属新材料-电池材料,制造业-计算机、通信和其他电子设备制造业
002787,机械设备-金属制品-金属制品,制造业-金属制品业
603797,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业
002742,医药生物-化学制药-化学原料药,制造业-非金属矿物制品业
603458,休闲、生活及专业服务-专业服务-调查与咨询服务,科学研究和技术服务业-专业技术服务业
300440,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
002389,国防与装备-航空航天装备-航空装备,制造业-铁路、船舶、航空航天和其他运输设备制造业
000882,商贸零售-商业物业经营-一般物业经营,租赁和商务服务业-商务服务业
002333,建材-其他建材-其他建材,制造业-有色金属冶炼和压延加工业
601577,金融-银行-股份制与城商行,金融业-货币金融服务
002343,文化传媒-影视动漫-影视,文化、体育和娱乐业-广播、电视、电影和录音制作业
603708,商贸零售-零售-超市,批发和零售业-零售业
300468,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
300457,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
301333,医药生物-医疗服务-医疗服务,科学研究和技术服务业-研究和试验发展
688522,国防与装备-地面装备-地面装备,制造业-计算机、通信和其他电子设备制造业
300736,信息技术-通信设备-通信配套服务,居民服务、修理和其他服务业-机动车、电子产品和日用产品修理业
301098,建筑-建筑施工-园林工程,建筑业-土木工程建筑业
603982,交运设备-汽车-汽车零部件,制造业-汽车制造业
002582,食品饮料-食品-食品综合,制造业-农副食品加工业
600261,家电-照明设备-照明设备,制造业-电气机械和器材制造业
000539,公用事业-电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业
688567,电气设备-电源设备-储能设备,制造业-电气机械和器材制造业
301517,电子设备-电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业
600682,医药生物-保健护理-保健护理服务,制造业-医药制造业
300759,医药生物-生物医药-生物医药,科学研究和技术服务业-研究和试验发展
603895,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
601233,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
000650,医药生物-中药生产-中药生产,制造业-医药制造业
300702,医药生物-化学制药-化学原料药,制造业-医药制造业
601700,电气设备-输变电设备-其他输变电设备,制造业-金属制品业
600676,交通运输-物流-物流,交通运输、仓储和邮政业-道路运输业
301019,基础化工-化学制品-塑料制品,制造业-橡胶和塑料制品业
