ts_code,symbol,name,area,industry,list_date
835184.BJ,835184,国源科技,北京,软件服务,20200727
835185.BJ,835185,贝特瑞,深圳,化工原料,20200727
835207.BJ,835207,众诚科技,河南,软件服务,20220923
835237.BJ,835237,力佳科技,湖北,电气设备,20221125
835305.BJ,835305,*ST云创,江苏,软件服务,20210826
835368.BJ,835368,连城数控,辽宁,专用机械,20200727
835438.BJ,835438,戈碧迦,湖北,元器件,20240325
835508.BJ,835508,殷图网联,北京,电气设备,20200727
835579.BJ,835579,机科股份,北京,机械基件,20231130
835640.BJ,835640,富士达,陕西,通信设备,20200727
835670.BJ,835670,数字人,山东,软件服务,20201208
835857.BJ,835857,百甲科技,江苏,钢加工,20230314
835892.BJ,835892,中科美菱,安徽,医疗保健,20221018
835985.BJ,835985,海泰新能,河北,电气设备,20220808
836077.BJ,836077,吉林碳谷,吉林,化纤,20210831
836149.BJ,836149,旭杰科技,江苏,建筑工程,20200727
836208.BJ,836208,青矩技术,北京,建筑工程,20230629
836221.BJ,836221,易实精密,江苏,汽车配件,20230608
836239.BJ,836239,长虹能源,四川,电气设备,20210209
836247.BJ,836247,华密新材,河北,橡胶,20221223
836260.BJ,836260,中寰股份,四川,专用机械,20211115
836263.BJ,836263,中航泰达,北京,环境保护,20200727
836270.BJ,836270,天铭科技,浙江,汽车配件,20220902
836395.BJ,836395,朗鸿科技,浙江,IT设备,20220901
836414.BJ,836414,欧普泰,上海,电器仪表,20221212
836419.BJ,836419,万德股份,陕西,化工原料,20230915
836422.BJ,836422,润普食品,江苏,食品,20230301
836433.BJ,836433,大唐药业,内蒙,中成药,20200727
836504.BJ,836504,博迅生物,上海,医疗保健,20230817
836547.BJ,836547,无锡晶海,江苏,化学制药,20231212
836675.BJ,836675,秉扬科技,四川,矿物制品,20201228
836699.BJ,836699,海达尔,江苏,家用电器,20230509
836717.BJ,836717,瑞星股份,河北,专用机械,20230703
836720.BJ,836720,吉冈精密,江苏,机械基件,20211124
836807.BJ,836807,奔朗新材,广东,机械基件,20221220
836826.BJ,836826,盖世食品,辽宁,食品,20210112
836871.BJ,836871,派特尔,广东,塑料,20220722
836892.BJ,836892,广咨国际,广东,建筑工程,20211028
836942.BJ,836942,恒立钻具,湖北,机械基件,20221208
836957.BJ,836957,汉维科技,广东,化工原料,20221214
836961.BJ,836961,西磁科技,浙江,专用机械,20231221
837006.BJ,837006,晟楠科技,江苏,航空,20230518
837023.BJ,837023,芭薇股份,广东,日用化工,20240329
837046.BJ,837046,亿能电力,江苏,电气设备,20221013
837092.BJ,837092,汉鑫科技,山东,软件服务,20211115
837174.BJ,837174,宏裕包材,湖北,广告包装,20230818
837212.BJ,837212,智新电子,山东,元器件,20210608
837242.BJ,837242,建邦科技,山东,汽车配件,20200727
837344.BJ,837344,三元基因,北京,生物制药,20210108
837403.BJ,837403,康农种业,湖北,种植业,20240118
837592.BJ,837592,华信永道,北京,软件服务,20230710
837663.BJ,837663,明阳科技,江苏,汽车配件,20230315
837748.BJ,837748,路桥信息,福建,软件服务,20230816
837821.BJ,837821,则成电子,深圳,元器件,20220706
838030.BJ,838030,德众汽车,湖南,汽车服务,20201127
838163.BJ,838163,方大新材,河北,塑料,20200727
838171.BJ,838171,邦德股份,山东,汽车配件,20220602
838227.BJ,838227,美登科技,浙江,软件服务,20221228
838262.BJ,838262,太湖雪,江苏,纺织,20221230
838275.BJ,838275,驱动力,广东,农业综合,20210125
838402.BJ,838402,硅烷科技,河南,化工原料,20220928
838670.BJ,838670,恒进感应,湖北,机床制造,20220705
838701.BJ,838701,豪声电子,浙江,元器件,20230719
838810.BJ,838810,春光智能,辽宁,专用机械,20221216
838837.BJ,838837,华原股份,广西,汽车配件,20230515
838924.BJ,838924,广脉科技,浙江,通信设备,20211103
838971.BJ,838971,天马新材,河南,化工原料,20220927
839273.BJ,839273,一致魔芋,湖北,食品,20230221
839371.BJ,839371,欧福蛋业,江苏,食品,20230118
839493.BJ,839493,并行科技,北京,软件服务,20231101
839680.BJ,839680,*ST广道,深圳,软件服务,20211115
839719.BJ,839719,宁新新材,江西,化工原料,20230526
839725.BJ,839725,惠丰钻石,河南,矿物制品,20220718
839729.BJ,839729,永顺生物,广东,农业综合,20200727
839790.BJ,839790,联迪信息,江苏,软件服务,20220902
839792.BJ,839792,东和新材,辽宁,其他建材,20230330
839946.BJ,839946,华阳变速,湖北,汽车配件,20210720
870199.BJ,870199,倍益康,四川,家用电器,20221201
870204.BJ,870204,沪江材料,江苏,塑料,20220118
870299.BJ,870299,灿能电力,江苏,电气设备,20220610
870357.BJ,870357,雅葆轩,安徽,元器件,20221118
870436.BJ,870436,大地电气,江苏,汽车配件,20211115
870508.BJ,870508,丰安股份,浙江,机械基件,20221216
870656.BJ,870656,海昇药业,浙江,化学制药,20240202
870726.BJ,870726,鸿智科技,广东,家用电器,20230808
870866.BJ,870866,绿亨科技,广东,农药化肥,20221209
870976.BJ,870976,视声智能,广东,通信设备,20230901
871245.BJ,871245,威博液压,江苏,机械基件,20220106
871263.BJ,871263,莱赛激光,江苏,电器仪表,20231228
871396.BJ,871396,常辅股份,江苏,电器仪表,20201118
871478.BJ,871478,巨能股份,宁夏,专用机械,20230512
871553.BJ,871553,凯腾精工,北京,专用机械,20210806
871634.BJ,871634,新威凌,湖南,铅锌,20221124
871642.BJ,871642,通易航天,江苏,航空,20210816
871694.BJ,871694,中裕科技,江苏,塑料,20230424
871753.BJ,871753,天纺标,天津,纺织,20221031
871857.BJ,871857,泓禧科技,重庆,元器件,20220228
871970.BJ,871970,大禹生物,山西,化学制药,20220518
871981.BJ,871981,晶赛科技,安徽,元器件,20211115
872190.BJ,872190,雷神科技,山东,IT设备,20221223
872351.BJ,872351,华光源海,湖南,仓储物流,20221229
872374.BJ,872374,云里物里,深圳,通信设备,20221129
872392.BJ,872392,佳合科技,江苏,广告包装,20221230
872541.BJ,872541,铁大科技,上海,运输设备,20230310
872808.BJ,872808,曙光数创,北京,IT设备,20221118
872895.BJ,872895,花溪科技,河南,农用机械,20230406
872925.BJ,872925,锦好医疗,广东,医疗保健,20211025
872931.BJ,872931,无锡鼎邦,江苏,化工机械,20240408
872953.BJ,872953,国子软件,山东,软件服务,20230823
873001.BJ,873001,纬达光电,广东,元器件,20221227
873122.BJ,873122,中纺标,北京,综合类,20220927
873132.BJ,873132,泰鹏智能,山东,家居用品,20231116
873152.BJ,873152,天宏锂电,浙江,电气设备,20230119
873167.BJ,873167,新赣江,江西,化学制药,20230209
873169.BJ,873169,七丰精工,浙江,机械基件,20220415
873223.BJ,873223,荣亿精密,浙江,机械基件,20220609
873305.BJ,873305,九菱科技,湖北,机械基件,20221221
873339.BJ,873339,恒太照明,江苏,家用电器,20221117
873527.BJ,873527,夜光明,浙江,化工原料,20221027
873570.BJ,873570,坤博精工,浙江,机械基件,20231123
873576.BJ,873576,天力复合,陕西,小金属,20230712
873593.BJ,873593,鼎智科技,江苏,机械基件,20230413
873665.BJ,873665,科强股份,江苏,橡胶,20230926
873679.BJ,873679,前进科技,浙江,机械基件,20231110
873690.BJ,873690,捷众科技,浙江,汽车配件,20240105
873693.BJ,873693,阿为特,上海,机械基件,20231027
873703.BJ,873703,广厦环能,北京,专用机械,20231205
873706.BJ,873706,铁拓机械,福建,工程机械,20240308
873726.BJ,873726,卓兆点胶,江苏,机械基件,20231019
873806.BJ,873806,云星宇,北京,软件服务,20240111
873833.BJ,873833,美心翼申,重庆,汽车配件,20231108
920002.BJ,920002,万达轴承,江苏,工程机械,20240530
920008.BJ,920008,成电光信,四川,通信设备,20240829
920016.BJ,920016,中草香料,安徽,日用化工,20240913
920019.BJ,920019,铜冠矿建,安徽,建筑工程,20241011
920029.BJ,920029,开发科技,四川,电器仪表,20250328
920060.BJ,920060,万源通,江苏,元器件,20241119
920066.BJ,920066,科拜尔,安徽,塑料,20241031
920068.BJ,920068,天工股份,江苏,小金属,20250513
920082.BJ,920082,方正阀门,浙江,机械基件,20241226
920088.BJ,920088,科力股份,新疆,石油开采,20241029
920098.BJ,920098,科隆新材,陕西,橡胶,20241205
920099.BJ,920099,瑞华技术,江苏,石油加工,20240925
920106.BJ,920106,林泰新材,江苏,汽车配件,20241218
920108.BJ,920108,宏海科技,湖北,家用电器,20250206
920111.BJ,920111,聚星科技,浙江,电气设备,20241111
920116.BJ,920116,星图测控,安徽,软件服务,20250102
920118.BJ,920118,太湖远大,浙江,塑料,20240822
920128.BJ,920128,胜业电气,广东,元器件,20241129
920167.BJ,920167,同享科技,江苏,小金属,20200727
920445.BJ,920445,龙竹科技,福建,家居用品,20200727
920489.BJ,920489,佳先股份,安徽,化工原料,20200727
920682.BJ,920682,球冠电缆,浙江,电气设备,20200727
920799.BJ,920799,艾融软件,上海,软件服务,20200727
920819.BJ,920819,颖泰生物,北京,农药化肥,20200727
