,平均值,中位数,标准差,最小值,最大值
2000,0.4443665822820959,0.42597292546088,0.1971315854448256,0.0534779007411958,1.1220194200064164
2001,0.45700957813153514,0.4392223243369025,0.204287205302346,0.0534779007411958,1.1220194200064164
2002,0.4761120776587562,0.457108187988187,0.20256420807509282,0.0534779007411958,1.1220194200064164
2003,0.4932954266674363,0.486606603603255,0.21010139020221816,0.0534779007411958,1.1220194200064164
2004,0.5127778239649089,0.5092945107577235,0.21267150997902765,0.0534779007411958,1.1220194200064164
2005,0.5366876120535945,0.535998358963402,0.22106979968823098,0.0534779007411958,1.1220194200064164
2006,0.544787734609371,0.544328656121201,0.221994175695168,0.0534779007411958,1.1220194200064164
2007,0.5295813928928381,0.522347383575542,0.21785312654274452,0.0534779007411958,1.1220194200064164
2008,0.52401343741014,0.517384772348397,0.22535708686957626,0.0534779007411958,1.1220194200064164
2009,0.5100808375751057,0.506600754525775,0.2341881202520734,0.0534779007411958,1.1220194200064164
2010,0.46667055887613407,0.4647286810572505,0.24713030872842176,0.0534779007411958,1.1220194200064164
2011,0.4458081732049142,0.445690978076696,0.24791444356140335,0.0534779007411958,1.1220194200064164
2012,0.4428753886780783,0.43805676881579503,0.23964347152489274,0.0534779007411958,1.1220194200064164
2013,0.4499146431583655,0.440707201048662,0.2276603250227783,0.0534779007411958,1.1220194200064164
2014,0.4501574209372127,0.438852498681607,0.2232009752744482,0.0534779007411958,1.1220194200064164
2015,0.4356972633840377,0.42016646244237754,0.21768602693355613,0.0534779007411958,1.1220194200064164
2016,0.4212755879136941,0.399647209939584,0.2153185153935744,0.0534779007411958,1.1220194200064164
2017,0.4190617920138938,0.399878067918827,0.21304363639898616,0.0534779007411958,1.1220194200064164
2018,0.4372345460269247,0.41975413931198946,0.21520667743314936,0.0534779007411958,1.1220194200064164
2019,0.43753687368298283,0.418151971808211,0.220822151823737,0.0534779007411958,1.1220194200064164
2020,0.4276556318116076,0.411172673819524,0.22172103703527996,0.0534779007411958,1.1220194200064164
2021,0.42769689419035406,0.4100103072436295,0.22082614973273434,0.0534779007411958,1.1220194200064164
2022,0.4195940782098351,0.402036061554721,0.22188231756071392,0.0534779007411958,1.1220194200064164
2023,0.41429518668652704,0.3963568013415315,0.21986556445636202,0.0534779007411958,1.1220194200064164
2024,0.41785123423401443,0.402929807927079,0.2164710469248598,0.0534779007411958,1.1220194200064164
