industry_code,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
制造业 (C),0.6593072724225324,0.7912725312658155,0.7432683034828778,0.4865081109474147,0.45344215733232984,,0.4064338357007234,0.4541859494905139,0.43262717744507606,0.41484996988568007
建筑业 (E),,,,,,0.43655178306124703,0.506112411573373,,,
