industry_code,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
制造业 (C),0.7442453675073182,0.22292240150569503,0.8089952643538089,0.13376283294288724,0.19781933691518647,,0.0,0.09361355741984781,0.13955545970393904,0.05939016975877517
建筑业 (E),,,,,,0.14873654717176327,1.3711838540392356,,,
