industry_code,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
制造业 (C),0.4415119672131264,0.37012180866425703,0.49086241157554905,0.3476664161237678,0.28455243636364375,,0.34944286503621547,0.16117825030230562,0.26500769393454715,0.19246990646542814
建筑业 (E),,,,,,0.10885883570045658,0.1267389708737872,,,
