,平均值,中位数,标准差,最小值,最大值
2000,0.113418,0.113418,1.5966245792516087e-15,0.113418,0.113418
2001,0.18273300000000003,0.182733,5.3034232405179754e-15,0.182733,0.182733
2002,0.140819,0.140819,4.220447663363298e-15,0.140819,0.140819
2003,0.09907100000000002,0.099071,1.3882815081229787e-15,0.099071,0.099071
2004,0.38294662806539503,0.52267,0.19986841539720324,0.062808,0.52267
2005,0.44151196721311464,0.398904,0.05882467528118994,0.398904,0.52267
2006,0.34724500646412415,0.322575,0.035710671279160236,0.322575,0.398904
2007,0.37012180866426,0.390464,0.031109300584423003,0.322575,0.390464
2008,0.43231325684333144,0.44941,0.02675636270924649,0.390464,0.44941
2009,0.49086241157556265,0.50587,0.024948633193075113,0.44941,0.50587
2010,0.5214509207564161,0.525931,0.008356745946344163,0.50587,0.525931
2011,0.34766641612377847,0.302339,0.08988624835328046,0.195444,0.525931
2012,0.29882288476411445,0.298139,0.003401354972791482,0.216877,0.329917
2013,0.28455243636363636,0.281323,0.006625222186163595,0.281323,0.298139
2014,0.1324251591152337,0.099168,0.07028065281038395,0.062808,0.281323
2015,0.10885883570045192,0.110791,0.004327855440818197,0.099168,0.110791
2016,0.12416297234352257,0.126516,0.005610150035377162,0.110791,0.126516
2017,0.31947356650117587,0.349303,0.07614859617474885,0.126516,0.427104
2018,0.21625215572519088,0.19531,0.052665846582693625,0.11532,0.356298
2019,0.1611782503022975,0.156095,0.013173541515512536,0.156095,0.19531
2020,0.15692805643931138,0.160032,0.05179102485090726,0.062808,0.284665
2021,0.2649992336392658,0.284665,0.0580019448659794,0.095018,0.525931
2022,0.1064511873460883,0.095018,0.03244860887976924,0.062808,0.199572
2023,0.19166495643382359,0.199572,0.04249904085716232,0.062808,0.525931
2024,0.062808,0.062808,4.858334561817587e-16,0.062808,0.062808
