industry_code,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
制造业 (C),0.201238,0.037439,0.1277632789699571,0.05857393681206686,0.0656116942336874,,0.17411627561196735,0.03736663682678311,0.08690948484848485,0.11552482071384361
建筑业 (E),,,,,,0.07520179282482224,0.182263,,,
