industry_code,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
制造业 (C),0.005,0.001294,0.03640462982832618,0.04121325438238891,0.040165829286798176,,0.14245472922333033,0.015635288694808347,0.04629376459963877,0.044990015267175575
建筑业 (E),,,,,,0.06635493859082094,0.14788,,,
