,平均值,中位数,标准差,最小值,最大值
2000,0.8576972982714417,0.9262945642211671,0.17963376025191283,0.0,1.0
2001,0.8618609101583586,0.927407995779398,0.17595026465647642,0.0,1.0
2002,0.8525919609689455,0.91804135605111,0.1836601765899104,0.0,1.0
2003,0.8482197950634577,0.922541145284725,0.18910797831501983,0.0,1.0
2004,0.8525083413766515,0.9304555320734555,0.18796998801058684,0.0,1.0
2005,0.8531914768896093,0.9290293195243855,0.18792616131927148,0.0,1.0
2006,0.8384151750667698,0.915179849760313,0.1958287837492641,0.0,1.0
2007,0.8335975792910689,0.9168054141417434,0.20607856496803992,0.0,1.0
2008,0.8046332243482016,0.888429746432134,0.22117924516214704,0.0,1.0
2009,0.8107061186516058,0.8922720927618265,0.21789706754816487,0.0,1.0
2010,0.8255533511985944,0.905291275610779,0.21008715216233978,0.0,1.0
2011,0.8130289565632103,0.891409943260365,0.21431463841007753,0.0,1.0
2012,0.8070034193938797,0.880076449975038,0.2107577478221416,0.0,1.0
2013,0.7996383262754602,0.869241373367026,0.21035625534205118,0.0,1.0
2014,0.8007025692648689,0.869419801553881,0.20709444402391172,0.0,1.0
2015,0.802770124844489,0.8699019878843226,0.2063515639654252,0.0,1.0
2016,0.8076807521442745,0.873774378475597,0.205454362305867,0.0,1.0
2017,0.816141722078802,0.882744141772021,0.20245991570932673,0.0,1.0
2018,0.804297131348101,0.86895618500673,0.2073850600957155,0.0,1.0
2019,0.7992206262094004,0.866671975860497,0.20885861980218426,0.0,1.0
2020,0.7871776747873146,0.85261459465677,0.2076928721904839,0.0,1.0
2021,0.783278685053754,0.847090937452767,0.20665852444042748,0.0,1.0
2022,0.7712895288987974,0.83438480080847,0.21019862178527637,0.0,1.0
2023,0.8226187412296778,0.897586021381659,0.2075272380479178,0.0,1.0
2024,0.8538648994591619,0.929423803459133,0.19826170069198412,0.0,1.0
